symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SBUX,2025-06-30 13:30:00+00:00,92.36,92.58,92.29,92.58,873.0,20.0,92.415
SBUX,2025-06-30 13:31:00+00:00,92.64,92.68,92.64,92.68,500.0,7.0,92.653333
SBUX,2025-06-30 13:32:00+00:00,92.68,92.68,92.59,92.59,785.0,13.0,92.62
SBUX,2025-06-30 13:33:00+00:00,92.815,93.37,92.815,93.37,855.0,10.0,93.062143
SBUX,2025-06-30 13:34:00+00:00,93.55,93.55,93.415,93.415,361.0,6.0,93.485
SBUX,2025-06-30 13:35:00+00:00,93.2,93.34,93.19,93.23,961.0,15.0,93.245
SBUX,2025-06-30 13:36:00+00:00,93.395,93.68,93.385,93.68,632.0,14.0,93.457
SBUX,2025-06-30 13:37:00+00:00,93.69,93.84,93.69,93.76,626.0,12.0,93.78
SBUX,2025-06-30 13:38:00+00:00,93.83,93.86,93.83,93.84,679.0,14.0,93.8425
SBUX,2025-06-30 13:39:00+00:00,93.86,94.1,93.835,94.08,1822.0,23.0,93.966071
SBUX,2025-06-30 13:40:00+00:00,94.085,94.085,93.95,93.95,1204.0,20.0,94.0225
SBUX,2025-06-30 13:41:00+00:00,93.95,94.04,93.905,94.04,1439.0,17.0,94.00069
SBUX,2025-06-30 13:42:00+00:00,94.07,94.145,93.99,93.99,1997.0,27.0,94.068551
SBUX,2025-06-30 13:43:00+00:00,94.04,94.04,93.945,93.945,550.0,11.0,93.988333
SBUX,2025-06-30 13:44:00+00:00,93.97,93.97,93.735,93.735,1156.0,20.0,93.839286
SBUX,2025-06-30 13:45:00+00:00,93.71,93.74,93.585,93.68,1151.0,13.0,93.665714
SBUX,2025-06-30 13:46:00+00:00,93.685,93.695,93.57,93.57,1166.0,19.0,93.655
SBUX,2025-06-30 13:47:00+00:00,93.42,93.42,93.42,93.42,275.0,9.0,93.42
SBUX,2025-06-30 13:48:00+00:00,93.44,93.44,93.44,93.44,103.0,2.0,93.44
SBUX,2025-06-30 13:49:00+00:00,93.36,93.435,93.36,93.435,1447.0,17.0,93.393636
SBUX,2025-06-30 13:50:00+00:00,93.385,93.4,93.38,93.4,1114.0,16.0,93.386667
SBUX,2025-06-30 13:51:00+00:00,93.42,93.45,93.34,93.35,1445.0,17.0,93.404348
SBUX,2025-06-30 13:52:00+00:00,93.4,93.46,93.38,93.38,928.0,14.0,93.428
SBUX,2025-06-30 13:53:00+00:00,93.3,93.315,93.25,93.25,1048.0,14.0,93.303125
SBUX,2025-06-30 13:54:00+00:00,93.24,93.275,93.24,93.275,301.0,4.0,93.261667
SBUX,2025-06-30 13:55:00+00:00,93.29,93.29,93.29,93.29,378.0,6.0,93.29
SBUX,2025-06-30 13:56:00+00:00,93.2,93.2,93.17,93.17,371.0,6.0,93.18
SBUX,2025-06-30 13:57:00+00:00,93.23,93.24,93.13,93.15,978.0,20.0,93.196
SBUX,2025-06-30 13:58:00+00:00,93.07,93.11,93.07,93.11,433.0,9.0,93.09
SBUX,2025-06-30 13:59:00+00:00,93.13,93.16,93.13,93.16,507.0,9.0,93.1475
SBUX,2025-06-30 14:00:00+00:00,93.2,93.23,93.2,93.23,377.0,6.0,93.211667
SBUX,2025-06-30 14:01:00+00:00,93.21,93.21,93.11,93.11,561.0,12.0,93.15875
SBUX,2025-06-30 14:02:00+00:00,92.91,93.0,92.91,93.0,823.0,17.0,92.94625
SBUX,2025-06-30 14:03:00+00:00,92.93,93.07,92.93,93.035,327.0,5.0,93.011667
SBUX,2025-06-30 14:04:00+00:00,93.095,93.095,93.05,93.05,984.0,15.0,93.067222
SBUX,2025-06-30 14:05:00+00:00,93.135,93.135,93.135,93.135,151.0,3.0,93.135
SBUX,2025-06-30 14:06:00+00:00,93.09,93.14,93.09,93.14,307.0,4.0,93.118166
SBUX,2025-06-30 14:07:00+00:00,93.105,93.15,93.105,93.15,410.0,5.0,93.12875
SBUX,2025-06-30 14:08:00+00:00,93.19,93.2,93.165,93.165,451.0,8.0,93.185
SBUX,2025-06-30 14:09:00+00:00,93.35,93.38,93.35,93.38,302.0,5.0,93.365
SBUX,2025-06-30 14:10:00+00:00,93.365,93.4,93.345,93.4,526.0,7.0,93.364
SBUX,2025-06-30 14:11:00+00:00,93.48,93.48,93.42,93.42,943.0,15.0,93.450714
SBUX,2025-06-30 14:12:00+00:00,93.41,93.445,93.34,93.34,1337.0,14.0,93.382083
SBUX,2025-06-30 14:13:00+00:00,93.295,93.33,93.29,93.32,400.0,4.0,93.30875
SBUX,2025-06-30 14:14:00+00:00,93.305,93.305,93.23,93.28,904.0,13.0,93.265833
SBUX,2025-06-30 14:15:00+00:00,93.34,93.34,93.315,93.315,201.0,3.0,93.3275
SBUX,2025-06-30 14:16:00+00:00,93.37,93.37,93.315,93.315,285.0,7.0,93.3425
SBUX,2025-06-30 14:17:00+00:00,93.15,93.15,93.15,93.15,139.0,7.0,93.15
SBUX,2025-06-30 14:18:00+00:00,93.265,93.265,93.185,93.26,776.0,9.0,93.235714
SBUX,2025-06-30 14:19:00+00:00,93.28,93.28,93.195,93.22,940.0,18.0,93.235
SBUX,2025-06-30 14:20:00+00:00,93.34,93.34,93.34,93.34,319.0,7.0,93.34
SBUX,2025-06-30 14:21:00+00:00,93.28,93.28,93.28,93.28,102.0,2.0,93.28
SBUX,2025-06-30 14:22:00+00:00,93.27,93.27,93.24,93.24,291.0,6.0,93.255
SBUX,2025-06-30 14:23:00+00:00,93.3,93.3,93.3,93.3,230.0,4.0,93.3
SBUX,2025-06-30 14:24:00+00:00,93.315,93.35,93.315,93.335,383.0,6.0,93.333333
SBUX,2025-06-30 14:25:00+00:00,93.31,93.34,93.275,93.275,750.0,8.0,93.306561
SBUX,2025-06-30 14:28:00+00:00,93.29,93.33,93.29,93.33,510.0,9.0,93.303333
SBUX,2025-06-30 14:29:00+00:00,93.37,93.38,93.37,93.38,216.0,4.0,93.375
SBUX,2025-06-30 14:30:00+00:00,93.385,93.385,93.385,93.385,235.0,4.0,93.385
SBUX,2025-06-30 14:31:00+00:00,93.355,93.355,93.28,93.28,703.0,10.0,93.314167
SBUX,2025-06-30 14:32:00+00:00,93.225,93.225,93.225,93.225,184.0,4.0,93.225
SBUX,2025-06-30 14:33:00+00:00,93.23,93.23,93.23,93.23,252.0,4.0,93.23
SBUX,2025-06-30 14:34:00+00:00,93.21,93.23,93.21,93.22,877.0,9.0,93.219972
SBUX,2025-06-30 14:35:00+00:00,93.21,93.21,93.21,93.21,240.0,6.0,93.21
SBUX,2025-06-30 14:36:00+00:00,93.295,93.295,93.24,93.245,560.0,11.0,93.26
SBUX,2025-06-30 14:37:00+00:00,93.2,93.21,93.1,93.14,868.0,12.0,93.143125
SBUX,2025-06-30 14:39:00+00:00,93.085,93.11,93.08,93.095,1089.0,10.0,93.096
SBUX,2025-06-30 14:40:00+00:00,93.095,93.095,92.975,92.975,803.0,10.0,93.039286
SBUX,2025-06-30 14:41:00+00:00,92.93,93.045,92.91,93.045,600.0,9.0,92.957
