symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TYL,2025-06-30 13:30:00+00:00,579.82,579.82,579.035,579.035,324.0,13.0,579.4275
TYL,2025-06-30 13:32:00+00:00,579.93,580.22,579.93,580.22,533.0,13.0,580.075
TYL,2025-06-30 13:43:00+00:00,581.57,581.57,581.57,581.57,100.0,1.0,581.57
TYL,2025-06-30 13:48:00+00:00,582.285,582.285,582.285,582.285,590.0,12.0,582.285
TYL,2025-06-30 13:53:00+00:00,582.89,582.89,582.89,582.89,100.0,1.0,582.89
TYL,2025-06-30 13:55:00+00:00,582.6,582.6,582.6,582.6,460.0,7.0,582.6
TYL,2025-06-30 13:57:00+00:00,582.625,582.625,582.625,582.625,174.0,2.0,582.625
TYL,2025-06-30 13:58:00+00:00,583.215,583.215,583.215,583.215,144.0,3.0,583.215
TYL,2025-06-30 14:06:00+00:00,583.91,583.91,583.91,583.91,102.0,2.0,583.91
TYL,2025-06-30 14:48:00+00:00,586.035,586.035,586.035,586.035,102.0,2.0,586.035
TYL,2025-06-30 15:00:00+00:00,585.34,585.34,585.205,585.205,300.0,5.0,585.2725
TYL,2025-06-30 15:15:00+00:00,585.485,585.485,585.485,585.485,104.0,2.0,585.485
TYL,2025-06-30 15:17:00+00:00,585.565,585.565,585.565,585.565,190.0,8.0,585.565
TYL,2025-06-30 15:41:00+00:00,584.945,584.96,584.945,584.96,448.0,17.0,584.9525
TYL,2025-06-30 15:48:00+00:00,584.73,584.73,584.73,584.73,194.0,5.0,584.73
TYL,2025-06-30 15:56:00+00:00,584.955,584.955,584.955,584.955,112.0,6.0,584.955
TYL,2025-06-30 16:17:00+00:00,585.605,585.605,585.605,585.605,149.0,1.0,585.605
TYL,2025-06-30 16:34:00+00:00,586.685,586.685,586.685,586.685,721.0,35.0,586.685
TYL,2025-06-30 16:54:00+00:00,586.46,586.46,586.46,586.46,167.0,2.0,586.46
TYL,2025-06-30 16:58:00+00:00,586.68,586.68,586.68,586.68,305.0,8.0,586.68
TYL,2025-06-30 17:09:00+00:00,587.92,588.095,587.92,588.095,292.0,12.0,588.0075
TYL,2025-06-30 18:05:00+00:00,589.225,589.225,589.225,589.225,225.0,16.0,589.225
TYL,2025-06-30 18:53:00+00:00,589.64,589.64,589.64,589.64,156.0,6.0,589.64
TYL,2025-06-30 19:48:00+00:00,592.6,592.6,592.6,592.6,203.0,3.0,592.6
TYL,2025-06-30 19:56:00+00:00,594.05,594.05,594.05,594.05,336.0,24.0,594.05
TYL,2025-06-30 19:57:00+00:00,593.165,593.49,593.165,593.49,284.0,10.0,593.3275
TYL,2025-07-01 13:30:00+00:00,588.085,588.195,588.085,588.195,300.0,2.0,588.121667
TYL,2025-07-01 13:44:00+00:00,589.045,589.045,589.045,589.045,505.0,9.0,589.045
TYL,2025-07-01 13:57:00+00:00,590.96,590.96,590.96,590.96,208.0,9.0,590.96
TYL,2025-07-01 14:05:00+00:00,591.24,591.24,591.24,591.24,668.0,25.0,591.24
TYL,2025-07-01 14:09:00+00:00,589.99,589.99,589.99,589.99,409.0,17.0,589.99
TYL,2025-07-01 14:18:00+00:00,591.73,591.73,591.73,591.73,215.0,6.0,591.73
TYL,2025-07-01 14:38:00+00:00,587.42,587.42,587.415,587.415,432.0,5.0,587.4175
TYL,2025-07-01 14:39:00+00:00,586.88,586.88,586.105,586.105,471.0,11.0,586.363333
TYL,2025-07-01 14:40:00+00:00,586.42,586.42,586.42,586.42,309.0,10.0,586.42
TYL,2025-07-01 14:47:00+00:00,585.63,585.63,585.63,585.63,110.0,2.0,585.63
TYL,2025-07-01 14:52:00+00:00,587.06,587.06,587.06,587.06,273.0,8.0,587.06
TYL,2025-07-01 15:06:00+00:00,587.43,587.43,587.43,587.43,120.0,4.0,587.43
TYL,2025-07-01 15:34:00+00:00,587.2,587.2,587.2,587.2,120.0,5.0,587.2
TYL,2025-07-01 15:47:00+00:00,585.65,585.65,585.65,585.65,166.0,8.0,585.65
TYL,2025-07-01 16:09:00+00:00,588.19,588.19,588.19,588.19,225.0,10.0,588.19
TYL,2025-07-01 16:17:00+00:00,588.325,588.325,588.325,588.325,103.0,3.0,588.325
TYL,2025-07-01 16:32:00+00:00,587.365,587.365,587.365,587.365,177.0,6.0,587.365
TYL,2025-07-01 17:13:00+00:00,588.63,588.63,588.63,588.63,275.0,6.0,588.63
TYL,2025-07-01 17:40:00+00:00,588.895,588.895,588.895,588.895,237.0,7.0,588.895
TYL,2025-07-01 18:17:00+00:00,588.975,588.975,588.975,588.975,149.0,8.0,588.975
TYL,2025-07-01 18:23:00+00:00,589.67,589.67,589.67,589.67,210.0,3.0,589.67
TYL,2025-07-01 18:24:00+00:00,589.265,589.265,589.265,589.265,264.0,9.0,589.265
TYL,2025-07-01 18:35:00+00:00,589.99,589.99,589.99,589.99,297.0,10.0,589.99
TYL,2025-07-01 18:45:00+00:00,590.585,590.585,590.585,590.585,100.0,1.0,590.585
TYL,2025-07-01 18:47:00+00:00,590.61,590.61,590.61,590.61,270.0,7.0,590.61
TYL,2025-07-01 18:48:00+00:00,590.59,590.59,590.59,590.59,282.0,17.0,590.59
TYL,2025-07-01 19:00:00+00:00,589.04,589.04,589.04,589.04,210.0,9.0,589.04
TYL,2025-07-01 19:32:00+00:00,590.22,590.22,590.22,590.22,205.0,3.0,590.22
TYL,2025-07-01 19:34:00+00:00,590.185,590.185,590.145,590.145,249.0,7.0,590.165
TYL,2025-07-01 19:35:00+00:00,590.115,590.115,590.115,590.115,237.0,6.0,590.115
TYL,2025-07-01 19:45:00+00:00,590.66,590.66,590.66,590.66,269.0,12.0,590.66
TYL,2025-07-01 19:47:00+00:00,591.015,591.015,591.015,591.015,179.0,8.0,591.015
TYL,2025-07-01 19:48:00+00:00,589.91,589.91,589.91,589.91,378.0,11.0,589.91
TYL,2025-07-01 19:51:00+00:00,589.46,589.46,589.46,589.46,126.0,3.0,589.46
TYL,2025-07-01 19:52:00+00:00,589.79,589.79,589.68,589.68,433.0,17.0,589.735
TYL,2025-07-01 19:54:00+00:00,590.15,590.15,590.15,590.15,184.0,10.0,590.15
TYL,2025-07-01 19:55:00+00:00,590.5,590.5,590.5,590.5,410.0,20.0,590.5
TYL,2025-07-01 19:57:00+00:00,590.85,590.85,590.85,590.85,627.0,15.0,590.85
TYL,2025-07-01 19:59:00+00:00,591.01,591.01,591.01,591.01,817.0,53.0,591.01
TYL,2025-07-02 13:32:00+00:00,586.905,586.905,586.905,586.905,100.0,1.0,586.905
TYL,2025-07-02 13:35:00+00:00,583.805,583.805,583.805,583.805,100.0,1.0,583.805
TYL,2025-07-02 13:40:00+00:00,585.215,585.215,585.215,585.215,585.0,13.0,585.215
TYL,2025-07-02 13:54:00+00:00,585.365,585.365,585.365,585.365,141.0,2.0,585.365
TYL,2025-07-02 13:58:00+00:00,586.52,586.52,586.52,586.52,127.0,4.0,586.52
TYL,2025-07-02 13:59:00+00:00,586.585,586.585,586.585,586.585,132.0,4.0,586.585
TYL,2025-07-02 14:04:00+00:00,585.945,585.945,585.945,585.945,176.0,6.0,585.945
TYL,2025-07-02 14:07:00+00:00,584.015,584.015,583.81,583.81,1207.0,19.0,583.972068
TYL,2025-07-02 14:09:00+00:00,582.295,582.295,582.295,582.295,735.0,14.0,582.295
TYL,2025-07-02 14:47:00+00:00,579.92,579.92,579.92,579.92,105.0,2.0,579.92
TYL,2025-07-02 14:50:00+00:00,579.5,579.5,579.5,579.5,126.0,3.0,579.5
TYL,2025-07-02 15:02:00+00:00,578.74,578.74,578.74,578.74,132.0,5.0,578.74
TYL,2025-07-02 15:18:00+00:00,576.075,577.475,576.075,577.475,736.0,30.0,576.775
TYL,2025-07-02 15:19:00+00:00,579.34,579.34,579.34,579.34,132.0,4.0,579.34
TYL,2025-07-02 15:20:00+00:00,578.25,578.25,578.25,578.25,218.0,4.0,578.25
TYL,2025-07-02 15:31:00+00:00,578.125,578.125,578.125,578.125,121.0,3.0,578.125
TYL,2025-07-02 15:33:00+00:00,578.125,578.125,578.125,578.125,151.0,5.0,578.125
TYL,2025-07-02 15:35:00+00:00,578.52,578.52,578.49,578.49,212.0,4.0,578.505
TYL,2025-07-02 15:36:00+00:00,578.27,578.27,578.27,578.27,110.0,2.0,578.27
TYL,2025-07-02 15:40:00+00:00,578.125,578.125,578.125,578.125,524.0,27.0,578.125
TYL,2025-07-02 15:42:00+00:00,575.56,575.56,575.56,575.56,808.0,9.0,575.56
TYL,2025-07-02 15:44:00+00:00,575.76,575.76,575.76,575.76,101.0,2.0,575.76
TYL,2025-07-02 15:46:00+00:00,575.55,575.55,575.55,575.55,200.0,2.0,575.55
TYL,2025-07-02 15:47:00+00:00,575.665,575.665,575.55,575.55,208.0,3.0,575.6075
TYL,2025-07-02 15:51:00+00:00,574.135,574.415,574.135,574.415,560.0,24.0,574.275
TYL,2025-07-02 15:54:00+00:00,575.51,575.51,575.49,575.49,318.0,13.0,575.5
TYL,2025-07-02 16:00:00+00:00,576.76,576.76,576.76,576.76,189.0,6.0,576.76
TYL,2025-07-02 16:01:00+00:00,575.97,575.97,575.97,575.97,213.0,5.0,575.97
TYL,2025-07-02 16:05:00+00:00,574.095,574.095,574.08,574.08,400.0,6.0,574.09
TYL,2025-07-02 16:09:00+00:00,574.11,574.11,573.84,573.84,768.0,24.0,574.003333
TYL,2025-07-02 16:34:00+00:00,577.35,577.35,577.35,577.35,237.0,13.0,577.35
TYL,2025-07-02 16:44:00+00:00,578.2,578.2,578.2,578.2,215.0,5.0,578.2
