symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WRB,2025-06-30 13:30:00+00:00,72.405,72.405,72.395,72.395,221.0,4.0,72.4
WRB,2025-06-30 13:31:00+00:00,72.015,72.015,72.015,72.015,100.0,1.0,72.015
WRB,2025-06-30 13:32:00+00:00,72.15,72.16,72.15,72.16,258.0,4.0,72.155
WRB,2025-06-30 13:33:00+00:00,72.46,72.46,72.46,72.46,660.0,9.0,72.46
WRB,2025-06-30 13:35:00+00:00,72.64,72.64,72.57,72.57,215.0,4.0,72.605
WRB,2025-06-30 13:46:00+00:00,72.72,72.77,72.72,72.77,505.0,8.0,72.743333
WRB,2025-06-30 13:47:00+00:00,72.77,72.77,72.77,72.77,120.0,2.0,72.77
WRB,2025-06-30 13:48:00+00:00,72.805,72.805,72.805,72.805,290.0,7.0,72.805
WRB,2025-06-30 13:50:00+00:00,72.735,72.76,72.735,72.76,629.0,11.0,72.748
WRB,2025-06-30 13:51:00+00:00,72.83,72.83,72.83,72.83,237.0,8.0,72.83
WRB,2025-06-30 13:52:00+00:00,72.85,72.85,72.85,72.85,413.0,8.0,72.85
WRB,2025-06-30 13:55:00+00:00,72.82,72.82,72.82,72.82,212.0,6.0,72.82
WRB,2025-06-30 13:57:00+00:00,72.75,72.75,72.725,72.725,209.0,4.0,72.7375
WRB,2025-06-30 13:58:00+00:00,72.75,72.75,72.75,72.75,453.0,7.0,72.75
WRB,2025-06-30 13:59:00+00:00,72.67,72.68,72.67,72.68,303.0,5.0,72.675
WRB,2025-06-30 14:00:00+00:00,72.81,72.81,72.81,72.81,544.0,13.0,72.81
WRB,2025-06-30 14:03:00+00:00,72.625,72.625,72.625,72.625,109.0,2.0,72.625
WRB,2025-06-30 14:04:00+00:00,72.455,72.455,72.455,72.455,184.0,5.0,72.455
WRB,2025-06-30 14:11:00+00:00,72.465,72.465,72.465,72.465,117.0,3.0,72.465
WRB,2025-06-30 14:14:00+00:00,72.41,72.43,72.41,72.43,412.0,4.0,72.421429
WRB,2025-06-30 14:15:00+00:00,72.445,72.445,72.37,72.42,1470.0,20.0,72.414903
WRB,2025-06-30 14:17:00+00:00,72.46,72.51,72.45,72.49,550.0,9.0,72.478
WRB,2025-06-30 14:18:00+00:00,72.49,72.49,72.47,72.47,551.0,11.0,72.48
WRB,2025-06-30 14:19:00+00:00,72.45,72.45,72.45,72.45,547.0,16.0,72.45
WRB,2025-06-30 14:22:00+00:00,72.56,72.56,72.56,72.56,410.0,11.0,72.56
WRB,2025-06-30 14:26:00+00:00,72.615,72.615,72.615,72.615,295.0,9.0,72.615
WRB,2025-06-30 14:27:00+00:00,72.55,72.55,72.55,72.55,296.0,7.0,72.55
WRB,2025-06-30 14:33:00+00:00,72.55,72.55,72.55,72.55,302.0,10.0,72.55
WRB,2025-06-30 14:34:00+00:00,72.525,72.57,72.525,72.57,490.0,10.0,72.54
WRB,2025-06-30 14:35:00+00:00,72.565,72.565,72.565,72.565,265.0,8.0,72.565
WRB,2025-06-30 14:37:00+00:00,72.6,72.6,72.6,72.6,456.0,20.0,72.6
WRB,2025-06-30 14:39:00+00:00,72.525,72.525,72.525,72.525,273.0,8.0,72.525
WRB,2025-06-30 14:42:00+00:00,72.57,72.57,72.57,72.57,142.0,5.0,72.57
WRB,2025-06-30 14:48:00+00:00,72.57,72.57,72.57,72.57,158.0,7.0,72.57
WRB,2025-06-30 14:50:00+00:00,72.525,72.525,72.525,72.525,422.0,12.0,72.525
